Player,Team,Age,Position,TransferValue_EUR_Millions,Highest_ETV_EUR_Millions
Simon Adingra,Brighton,23,,34.0,34.2
Vitaliy Mykolenko,Everton,25,,33.5,34.7
Nathan Collins,Brentford,24,,33.3,33.3
Matty Cash,Aston Villa,27,,32.9,47.1
Malo Gusto,Chelsea,21,,32.8,38.5
Tyler Dibling,Southampton,19,,32.7,32.7
Lucas Bergvall,Tottenham,19,,32.6,32.6
Jarrad Branthwaite,Everton,22,,32.2,33.2
Leandro Trossard,Arsenal,30,,31.8,31.8
Jean-Philippe Mateta,C. Palace,27,,31.7,31.7
Rodrigo Bentancur,Tottenham,27,,31.5,51.9
Joachim Andersen,Fulham,28,,31.4,49.7
Yoane Wissa,Brentford,28,,31.4,31.4
Daniel Muñoz,C. Palace,28,,30.9,30.9
Jørgen Strand Larsen,Wolverhampton,25,,30.8,30.8
Facundo Buonanotte,Leicester,20,,30.7,31.9
Bart Verbruggen,Brighton,22,,30.7,34.0
Wesley Fofana,Chelsea,24,,30.3,52.5
Alex Iwobi,Fulham,29,,30.3,44.9
Callum Hudson-Odoi,Nottingham,24,,30.2,50.6
Calvin Bassey,Fulham,25,,29.9,29.9
Taylor Harwood-Bellis,Southampton,23,,29.9,30.3
André,Wolverhampton,23,,29.8,29.8
Yves Bissouma,Tottenham,28,,29.8,36.3
Kevin Schade,Brentford,23,,29.7,29.7
David Raya,Arsenal,29,,28.9,47.8
Mikkel Damsgaard,Brentford,24,,28.6,28.6
Dango Ouattara,B'mouth,23,,28.5,28.5
Radu Drăguşin,Tottenham,23,,28.4,28.4
Leif Davis,Ipswich Town,25,,28.2,28.6
Sander Berge,Fulham,27,,27.8,27.9
Maxence Lacroix,C. Palace,25,,27.7,35.9
Keane Lewis-Potter,Brentford,24,,27.1,27.3
Vitaly Janelt,Brentford,26,,27.1,29.1
Lesley Ugochukwu,Southampton,21,,27.0,29.2
Dwight McNeil,Everton,25,,27.0,40.4
Evanilson,B'mouth,25,,26.9,33.5
Aaron Wan-Bissaka,West Ham United,27,,26.9,57.0
Sepp van den Berg,Brentford,23,,26.4,28.6
Iliman Ndiaye,Everton,25,,25.7,25.7
Ismaïla Sarr,C. Palace,27,,25.7,26.0
Mateo Kovačić,Man City,31,,25.3,42.1
Jacob Greaves,Ipswich Town,24,,25.1,25.5
Wout Faes,Leicester,27,,25.0,32.6
Robert Sánchez,Chelsea,27,,24.9,26.4
Tyrick Mitchell,C. Palace,25,,24.6,34.6
Jesper Lindstrøm,Everton,25,,24.4,37.1
Marcus Tavernier,B'mouth,26,,24.4,24.4
Tyler Adams,B'mouth,26,,24.4,39.6
Beto,Everton,27,,24.4,24.7
Orel Mangala,Everton,27,,24.4,24.4
Tosin Adarabioyo,Chelsea,27,,24.3,24.8
Virgil van Dijk,Liverpool,33,,24.3,52.2
Alisson,Liverpool,32,,24.1,71.8
Andrew Robertson,Liverpool,31,,24.0,78.8
Carlos Soler,West Ham United,28,,23.4,35.7
Neco Williams,Nottingham,24,,23.4,23.4
Tomáš Souček,West Ham United,30,,23.2,34.7
James Garner,Everton,24,,23.2,32.0
Dean Henderson,C. Palace,28,,22.7,32.9
Jordan Pickford,Everton,31,,22.6,43.5
Mateus Fernandes,Southampton,20,,22.5,22.5
John McGinn,Aston Villa,30,,22.5,45.9
Kristoffer Ajer,Brentford,27,,21.5,32.8
Yasin Ayari,Brighton,21,,21.4,21.5
Jean-Ricner Bellegarde,Wolverhampton,26,,21.3,21.3
Marcos Senesi,B'mouth,27,,20.4,20.4
Wilfred Ndidi,Leicester,28,,20.3,46.5
Trevoh Chalobah,Chelsea,25,,20.1,41.3
Kevin De Bruyne,Man City,33,,20.1,76.6
Mads Hermansen,Leicester,24,,19.8,19.8
Djed Spence,Tottenham,24,,19.8,22.5
Jake O'Brien,Everton,23,,19.7,20.0
Dara O'Shea,Ipswich Town,26,,19.5,22.8
Jack Clarke,Ipswich Town,24,,19.4,19.7
Lewis Cook,B'mouth,28,,19.3,21.2
Ederson,Man City,31,,19.1,81.1
Konstantinos Mavropanos,West Ham United,27,,19.1,25.6
Andreas Pereira,Fulham,29,,19.0,19.2
Nicolás Domínguez,Nottingham,26,,18.8,18.8
Ola Aina,Nottingham,28,,18.8,19.3
Aaron Ramsdale,Southampton,26,,18.7,48.5
Toti Gomes,Wolverhampton,26,,18.6,18.6
Cameron Archer,Southampton,23,,18.6,18.6
Kamaldeen Sulemana,Southampton,23,,18.5,21.4
Ryan Yates,Nottingham,27,,18.3,18.4
Yehor Yarmoliuk,Brentford,21,,18.0,18.0
Emmanuel Agbadou,Wolverhampton,27,,18.0,18.0
Jacob Murphy,Newcastle Utd.,30,,17.9,17.9
Issa Diop,Fulham,28,,17.9,23.7
Dominic Calvert-Lewin,Everton,28,,17.8,39.0
Jack Harrison,Everton,28,,17.7,37.0
Emiliano Martínez,Aston Villa,32,,17.5,17.5
Timothy Castagne,Fulham,29,,17.4,35.0
Kalvin Phillips,Ipswich Town,29,,17.2,31.0
James Justin,Leicester,27,,17.0,22.2
Oliver Skipp,Leicester,24,,17.0,29.8
Caleb Okoli,Leicester,23,,16.7,26.0
Kyle Walker-Peters,Southampton,28,,16.6,21.6
Ryan Christie,B'mouth,30,,16.2,17.9
Yukinari Sugawara,Southampton,24,,15.7,16.4
Chris Richards,C. Palace,25,,15.7,16.0
Jens Cajuste,Ipswich Town,25,,15.5,15.5
Boubakary Soumaré,Leicester,26,,15.4,25.0
Thomas Partey,Arsenal,31,,15.2,31.1
Daichi Kamada,C. Palace,28,,14.6,29.5
Harry Wilson,Fulham,28,,14.5,27.5
Christian Nørgaard,Brentford,31,,14.4,14.9
Sammie Szmodics,Ipswich Town,29,,14.1,14.5
Kenny Tete,Fulham,29,,14.0,16.1
Harry Maguire,Man Utd,32,,13.7,59.5
Bernd Leno,Fulham,33,,13.7,41.5
Guido Rodríguez,West Ham United,31,,13.6,20.5
Lucas Digne,Aston Villa,31,,13.6,45.4
Jefferson Lerma,C. Palace,30,,13.6,14.4
Mark Flekken,Brentford,31,,13.6,13.9
Jan Bednarek,Southampton,29,,12.9,37.6
Stephy Mavididi,Leicester,26,,12.9,16.5
Paul Onuachu,Southampton,30,,12.7,18.0
Ben Johnson,Ipswich Town,25,,12.6,17.4
Emerson Palmieri,West Ham United,30,,12.6,14.7
Saša Lukić,Fulham,28,,12.1,15.9
İlkay Gündoğan,Man City,34,,12.1,47.2
Kepa Arrizabalaga,B'mouth,30,,12.0,59.2
Alphonse Aréola,West Ham United,32,,11.8,24.0
James Tarkowski,Everton,32,,11.8,33.6
Nick Pope,Newcastle Utd.,33,,11.7,30.1
Casemiro,Man Utd,33,,11.6,83.7
Harry Winks,Leicester,29,,11.4,27.5
Santiago Bueno,Wolverhampton,26,,11.2,11.2
Álex Moreno,Nottingham,31,,11.0,17.7
Fabian Schär,Newcastle Utd.,33,,11.0,11.0
Arijanet Murić,Ipswich Town,26,,10.1,12.1
Jack Hinshelwood,Brighton,20,,9.2,9.2
Flynn Downes,Southampton,26,,9.2,9.2
Dan Burn,Newcastle Utd.,32,,9.1,16.5
Matz Sels,Nottingham,33,,9.1,11.8
José Sá,Wolverhampton,32,,8.5,8.5
Nélson Semedo,Wolverhampton,31,,8.4,27.5
Rodrigo Muniz,Fulham,24,,8.2,9.8
Adama Traoré,Fulham,29,,8.0,25.7
Chris Wood,Nottingham,33,,7.8,7.8
Ethan Pinnock,Brentford,31,,7.6,17.9
Lewis Dunk,Brighton,33,,7.4,7.4
Joe Aribo,Southampton,28,,6.9,12.4
Danny Welbeck,Brighton,34,,6.0,65.9
Abdoulaye Doucouré,Everton,32,,5.8,5.8
Stefan Ortega,Man City,32,,5.8,7.4
Tyrone Mings,Aston Villa,32,,5.8,31.4
Joël Veltman,Brighton,33,,5.7,13.7
Ben Davies,Tottenham,32,,5.6,41.8
Kieran Trippier,Newcastle Utd.,34,,5.1,5.1
Raúl Jiménez,Fulham,34,,5.1,37.0
Axel Tuanzebe,Ipswich Town,27,,4.2,4.6
Christian Eriksen,Man Utd,33,,4.2,70.6
Matt Doherty,Wolverhampton,33,,4.2,4.2
Ryan Manning,Southampton,28,,3.9,5.0
Conor Coady,Leicester,32,,2.2,44.7
Wes Burns,Ipswich Town,30,,2.1,4.0
Jannik Vestergaard,Leicester,32,,2.0,2.0
Luke Woolfenden,Ipswich Town,26,,2.0,10.8
Cameron Burgess,Ipswich Town,29,,1.7,1.7
Alex Palmer,Ipswich Town,28,,1.6,3.0
Adam Smith,B'mouth,34,,1.5,13.5
Craig Dawson,Wolverhampton,35,,1.5,11.2
Jack Stephens,Southampton,31,,1.4,4.8
Ashley Young,Everton,39,,1.3,9.1
Sam Morsy,Ipswich Town,33,,1.3,6.7
Jamie Vardy,Leicester,38,,1.0,18.1
Łukasz Fabiański,West Ham United,40,,0.9,5.3
